id,resourceType,title,description,startDate,endDate,lat,lon,documentType,author,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Ind Premises destroyed,Com Premises damaged,Com Premises destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Farm(s) damaged,Farm(s) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions,subjects,url,resourceUrl
154,Disaster Event,Bushfire - Black Tuesday Tasmania,"On 7 February 1967 over 100 fires were burning across southern Tasmania, which was to be known as 'Black Tuesday'.  Combination of abundant forest litter created by the prolific growth in the Spring of 1966, strong northerly winds of up to 110 km per hour and extremely hot air created ideal conditions for bushfires. The bushfires swept across the south-east coast of Tasmania and burnt through 264,270 hectares in the state's south in the space of five hours coming within 2 km of central Hobart. Sixty two people lost their lives, and 1400 homes or buildings were destroyed. The fires killed thousands of chickens and sheep among other livestock.  A Royal Commission after the fires found there were 110 fires burning within a 56 km radius of Hobart.  The Insurance Council of Australia estimated the 1967 damage at $14 million, with the 2011 estimated normalised cost of $610 million.",2/07/1967 0:00,2/07/1967 0:00,-43.16512299,146.2417603,,,,,,62,14000000,,,,1400,,,,,,,,,,,,,,,,,,,20000,,Tasmania,,http://www.emknowledge.gov.au/resource/?id=154,
334,Disaster Event,"Flood - Queensland, Northern Territory and Western Australia","Tropical Cyclone Madge crossed the coast near Cooktown and brought about widespread rain, which resulted in subsequent flooding to neighbouring towns along the coast. Coinciding Tropical Cyclone Bella also brought about extensive rain towards the concluding in stages of March. The two cyclones affected rivers across the State of Queensland including the Herbert, Tully, Nicholson, Gregory, Georgina, Burke, Hamilton, Diamantina, Thomson and Cloncurry.  The Bruce Highway, connecting Cairns and Townsville, was inundated with water and was subsequently cut in six places. Furthermore there was also damage to buildings and houses along with reports of heavy crop and livestock losses.  The Insurance Council of Australia estimated the 1973 damage at $30 million, with the 2011 estimated normalised cost of $1492 million.  (Note this is a combined cost with Northern Territory, and Western Australia).",3/02/1973 0:00,3/30/1973 0:00,-16.92290306,145.773941,,,,,,,30000000,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=334,
177,Disaster Event,Cyclone Joan,"Tropical Cyclone Joan developed over the Timor sea and was named on 1 December 1975. The system passed close to the northern tip of Western Australia before moving west to south-westerly over the ocean and gradually intensified. Late on the 6th, the cyclone suddenly took a southerly direction and the eye crossed the coast 50 km west of Port Hedland at about 6am on 8 December 1975.  Despite Port Hedland not being in the centre of the storm it was subjected to strong winds exceeding 90 km per hour for approximately 10 hours with winds in excess of 120 km per hour for three hours. The maximum measured wind gust was 208 km per hour. Severe property damage occurred at Port Hedland and other townships nearby. Eighty-five per cent of all houses were damaged to some degree. Power and communications were lost for several days.  Heavy rainfall inland caused flooding. Marandoo, near Tom Price registered 591 mm while many other sites recorded rainfall over 400 mm. The heavy rain occurred along and just east of the cyclone track. Some of the two and three-day totals registered over the Hamersley Range represent in excess of a once in 100 year event.  The Insurance Council of Australia estimated the 1975 damage at $20 million, with the 2011 estimated normalised cost of $398 million.",12/08/1975 0:00,12/09/1975 0:00,-13.41099358,125.859375,,,,20,,,20000000,,,,,,,,,,,,,,,,,,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=177,
328,Disaster Event,Flood - Sydney Mar 1975,"Severe flooding resulted in damage to the areas of Gosford, Sydney and the Illawarra region.  The Insurance Council of Australia estimated the 1975 damage at $15 million, with the 2012 estimated normalised cost of $339 million.",3/09/1975 0:00,3/09/1975 0:00,-33.85963821,151.2046814,,,,,,,15000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=328,
180,Disaster Event,Hail - Toowoomba,"A severe storm caused extreme weather conditions in the Toowoomba region on 9 January 1976. Gale force winds combined with large hail produced widespread damage to infrastructure, buildings and houses.  The Insurance Council of Australia estimated the 1976 damage at $12 million, with the 2011 estimated normalised cost of $282 million.",1/09/1976 0:00,1/09/1976 0:00,-27.56375313,151.9540558,,,,,,,12000000,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=180,
191,Disaster Event,Severe Storm - Western Sydney,"On 9 November 1976, a severe hailstorm spread across the Sydney metropolitan area, focusing on the western suburbs. Wind gusts reached 96 km per hour and large hailstones ranging between one and 4.4 cm in diameter were recorded. The storm caused extensive damage to homes and vehicles and ten people sustained injuries.  The Insurance Council of Australia estimated the 1976 damage at $40 million, with the 2011 estimated normalised cost of $650 million.",11/09/1976 0:00,11/09/1976 0:00,-33.85551834,150.862793,,,,,10,,732000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=191,
4165,Disaster Event,Hail - Sydney Nov 1976,"On 10 November 1976, a severe hailstorm blanketed parts of Western Sydney. The worst affected suburbs were Villawood, Auburn and Lindcome, where hailstones were the size of tennis balls.  Ten people were injured and extensive damage was caused to cars, vehicles and the Auburn swimming centre, where the roof fell into the pool.",11/10/1976 0:00,11/10/1976 0:00,-33.86086655,151.0230408,,,,,10,,40000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=4165,
309,Disaster Event,Bushfire - Western Districts and Streatham,"On 12 February 1977, Streatham was partially destroyed by bushfires which spread across western Victoria to the South Australian border. The post office, community hall, and shops were destroyed in the blaze. The fires killed four people and a further seven are believed to have suffered heart attacks.  Other areas that felt the effects of the fire included Penshurst, Tatyoon, Creswick, Pura Pura, Cressy, Beeac, Lismore and Little River. In total, the fires burnt 116 houses, 340 buildings, 103,000 hectares, and close to 200,000 livestock.  The Insurance Council of Australia estimated the 1977 damage at $9 million, with the 2011 estimated normalised cost of $101 million.",2/12/1977 0:00,2/12/1977 0:00,-37.67930603,143.0588379,,,,350,,4,9000000,,,,116,,340,,,,,,,,,,,,,,,,,198000,,Victoria,,http://www.emknowledge.gov.au/resource/?id=309,
48,Disaster Event,"Severe Storm - Newcastle, Sydney, Wollongong","In February 1978 severe storms affected Sydney, Newcastle and Wollongong. Wind gusts reached 141 km per hour at Newcastle, causing extensive damage to buildings and the loss of power to many homes. In total eight people were injured as a result of this storm. A tornado accompanied a thunderstorm in the Drummoyne and Hunters Hill areas of Sydney.  The Insurance Council of Australia estimated the 1978 damage at $15 million, with the 2011 estimated normalised cost of $215 million.",2/10/1978 0:00,2/11/1978 0:00,-32.92599487,151.7788696,,,,,8,,15000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=48,
70,Disaster Event,"Flood - Sydney, Newcastle and Wollongong","Flooding on 10 February affected Sydney, Camden, Lismore, Taree and Moruya, resulting in six deaths.  The Hawkesbury River recorded a height of 14.31 m at the Windsor Bridge (NOTE: a new gauge at Windsor Bridge reduced measurements by 30.5 cm). The flooding caused main evacuation routes to be closed and loss of power to Richmond and Windsor including west of the Hawkesbury River. The McGraths Hill sewerage plant was interrupted; electricity cut to Hawkesbury-Nepean Valley's low lying areas, including widespread power blackouts through flood bound areas of the State.   The Insurance Council of Australia estimated the 1978 damage at $15 million, with the 2011 estimated normalised cost of $215 million.",2/10/1978 0:00,2/10/1978 0:00,-33.59460449,150.7513123,,,,,,6,15000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=70,
